Year,EU-27,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Lithuania,Luxembourg,Malta,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,Japan
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1,,1,0.9,,1.1,0.9,1.6,27.3,10.5,1,2,0.9,0.9,1,199.8,201.6,2,1.1,,0.9,0.9,0.9,1.3,,1.1,41.2,21.5,4.1,1.2,2.8,,1,0.9,0.8,14.9,1.7,3,1.1,,
2004,1,,1,0.9,,1.2,0.9,1.6,27.8,9.8,0.9,1.7,1,0.9,1,212.1,202.1,2,1.1,,0.9,0.9,0.9,1.3,,1,40.2,20.9,4.2,1.1,3.2,,1,0.8,0.8,14.8,1.7,3.6,1.1,,
2005,1,118.5,0.9,1,1.6,1.3,1.1,1.2,26.6,10.3,0.9,1.8,1,0.9,1.1,209,209.4,2,1.2,,0.9,0.9,0.9,1.2,0.8,1,41.5,19.4,3.8,1.1,3.3,58.9,0.9,0.9,0.8,14.5,1.6,3.2,1.1,,
2006,1,118,0.9,1.1,1.6,1.4,1.2,1.2,26.7,10.1,1,1.8,1,0.9,1.2,213,211.5,1.9,1.2,,1,0.8,0.9,1.2,0.8,1,41.6,19.5,3.8,1.1,3.3,65.4,1,0.9,0.9,14.2,1.6,3.4,1.1,,
2007,1,118.4,0.9,1,1.6,1.5,1.2,1.2,26.4,10.1,1,1.8,1,0.9,1.1,221,212,1.9,1.2,,1,0.9,0.9,1.2,0.8,1,41.2,19.2,3.7,1.1,3.3,68,1,0.9,0.9,13.9,1.6,3.3,1.1,,
2008,1,116.1,0.9,1,1.9,1.4,1.1,1.1,24.3,10,1,1.6,0.9,0.9,1,222.9,228.6,1.7,1.1,,1.1,0.9,0.9,1,0.9,1,39.6,19.9,3.7,0.8,3,70.6,1,1,0.8,14.7,1.7,3.3,1,,
2009,1,119.3,1,1,1.9,1.5,1.1,1.2,24.6,10.2,1.1,1.7,1,0.9,1.1,236.5,296.1,1.7,1.2,,1.2,1,0.9,1,1,1,43.4,20.7,4,0.9,3,85.9,1,1,0.9,14.9,1.7,3.5,1.1,,
2010,1,118.5,0.9,1,1.9,1.5,1.1,1.2,24.9,9.9,1.1,1.7,1,0.9,1.2,244.5,319,1.5,1.1,,1.2,1,0.9,0.9,0.9,1,42.4,20.4,3.9,0.9,3.2,90.2,1,1,0.8,14.7,1.7,3.9,1.1,,
2011,1,107.4,1,1,1.8,1.4,1.1,1.2,26.1,10.6,1.1,1.8,0.9,0.9,1.4,231.2,354.4,1.8,1,,1.2,1,1,1.1,1,1,43.3,22.8,4.2,0.9,3.4,89.5,1,1,0.9,15.1,1.6,4.5,1.2,,
2012,1,107.5,1,1,1.7,1.4,1.1,1.2,26.1,11.1,1.1,1.9,0.9,0.9,1.4,242.1,362.2,1.7,1.1,,1.2,1,1,1.2,1,1,43.1,23.1,4.2,0.9,3.4,93.6,1,1.1,0.9,14.9,1.5,5.1,1.2,,
