sellChampagne,sellConjac,sellPivo,sellVina,sellVodka,year,region,id,vrp,priceVodka,priceVino20,priceVino14,priceConjac_rus,priceChamp_rus,pricePivo_rus,pricePivo_for,umemp,doc,ipc,pop,dtp,price1vod,otravl,suicide
1.0,0.5,36.2,4.3,8.0,2003,,1.0,9849.3,,29.67,112.09,318.69,94.64,18.86,54.8,15.5,1636.0,113.2,446828.0,135.9,139.32,29.6,24.2
1.0,0.3,27.5,4.1,8.6,2004,,1.0,12493.2,294.93,33.27,124.49,357.98,108.93,21.77,58.93,17.3,1652.0,113.4,444848.0,136.0,179.34,27.9,24.5
1.1,0.4,29.7,4.4,10.4,2005,,1.0,17029.1,300.51,39.76,131.84,403.46,115.93,20.76,55.91,13.0,1657.0,111.7,443300.0,138.6,186.68,33.6,26.8
0.7,0.3,32.4,3.8,8.1,2006,,1.0,21132.4,290.78,48.01,138.56,468.42,117.27,22.84,57.94,13.9,1692.0,108.65,440993.0,138.5,197.4,30.5,23.1
0.7,0.5,31.6,4.1,6.8,2007,,1.0,29085.1,339.91,67.95,158.12,639.82,129.26,27.42,63.33,10.3,1713.0,108.36,438603.0,138.5,207.44,24.9,17.9
1.8,0.9,30.9,5.6,6.4,2008,,1.0,36134.4,385.69,68.97,180.73,545.09,146.8,31.83,138.24,7.3,1653.0,111.33,437900.0,136.6,225.1,26.472,18.779
1.6,1.2,31.5,6.8,7.4,2009,,1.0,41511.5,405.07,66.1,224.95,643.22,183.76,40.85,159.0,7.7,1674.0,115.8,439380.0,132.9,238.18,20.769,22.349
1.6,1.0,31.5,6.2,6.6,2010,,1.0,47194.5,406.67,66.16,301.12,643.34,187.71,49.0,219.66,9.3,1668.0,107.57,439760.0,130.7,257.69,20.0,22.1
1.24,0.75,35.82,3.29,6.9,2011,,1.0,56803.3,449.93,88.1,308.64,788.69,206.37,63.06,236.35,8.4,1698.0,107.94,439935.0,126.0,264.75,17.9,18.1
1.3,0.7,34.5,3.1,5.6,2012,,1.0,65300.4,459.85,89.32,313.02,802.02,210.55,62.7,236.35,8.1,1726.0,105.91,442451.0,121.8,302.87,11.5,16.5
1.2,0.7,37.0,2.9,4.7,2013,,1.0,70862.3,542.11,204.18,260.09,853.21,224.06,72.59,211.68,7.9,1728.0,106.2,444403.0,119.0,361.35,13.0,21.8
1.5,0.7,28.7,3.7,4.1,2014,,1.0,77923.0,,231.03,275.29,920.41,244.53,78.2,224.79,8.6,1733.0,105.39,446406.0,,549.96,13.846,16.303
1.3,0.6,27.2,3.5,3.8,2015,,1.0,,,192.04,352.09,1243.92,254.71,86.73,351.17,8.8,,113.75,449171.0,,588.56,,
0.3,0.2,25.0,1.5,8.3,2003,,2.0,242920.5,,116.03,95.86,398.16,106.38,22.62,122.61,8.2,16983.0,111.1,4102274.0,105.1,109.93,9.9,66.0
0.3,0.2,35.4,1.2,9.2,2004,,2.0,310845.1,171.4,131.65,99.16,427.04,111.92,22.95,126.71,7.2,17071.0,114.3,4094215.0,105.0,122.61,9.5,62.7
0.6,0.2,43.1,2.2,10.0,2005,,2.0,381646.5,245.0,134.25,118.2,523.01,108.02,25.01,95.46,7.0,16961.0,110.9,4081349.0,139.3,141.03,9.3,57.6
0.7,0.2,68.4,2.6,10.6,2006,,2.0,505205.8,262.72,149.43,127.0,568.57,104.75,25.82,91.03,6.5,17296.0,108.07,4066257.0,139.0,153.8,6.7,54.5
0.9,0.2,68.7,3.0,11.1,2007,,2.0,590054.1,319.32,185.84,139.71,669.31,117.61,26.78,98.25,6.5,17456.0,107.61,4053439.0,136.8,169.08,5.2,50.0
0.7,0.2,86.1,2.6,9.6,2008,,2.0,743133.4,310.79,197.21,142.02,681.23,131.23,30.32,106.76,5.2,16899.0,112.37,4054821.0,132.1,197.8,5.672,48.902
1.5,0.2,80.8,2.4,9.1,2009,,2.0,647911.7,338.77,213.83,154.96,728.2,139.68,35.54,121.75,9.2,17411.0,111.33,4059373.0,129.9,200.86,6.131,48.281
0.5,0.2,79.6,2.2,8.7,2010,,2.0,759203.3,408.69,234.19,159.96,825.29,159.14,41.79,133.39,8.9,17198.0,108.17,4068545.0,126.8,217.17,5.5,40.0
0.85,0.28,63.87,3.04,10.97,2011,,2.0,941023.6,438.92,257.67,175.11,902.36,174.26,50.94,146.38,7.6,17518.0,107.41,4072085.0,126.8,241.59,6.6,41.0
0.8,0.4,78.3,4.0,11.7,2012,,2.0,1149384.6,438.56,267.89,200.5,896.98,175.66,52.14,148.28,6.1,16903.0,106.05,4064245.0,125.9,293.5,6.3,41.9
0.8,0.6,90.3,4.0,10.8,2013,,2.0,1163219.0,499.93,296.7,214.82,978.94,190.61,59.99,163.51,5.8,17043.0,105.14,4060957.0,122.5,353.88,6.1,38.5
0.9,0.4,75.1,3.2,9.5,2014,,2.0,1248817.8,,344.01,227.29,1067.01,208.31,69.37,172.89,5.3,17383.0,104.63,4069698.0,,491.57,4.029,33.53
0.8,0.4,75.7,2.5,6.2,2015,,2.0,,,399.18,250.61,1220.22,221.75,80.44,164.97,6.1,,113.32,4071987.0,,482.29,,
,,,,,2003,,3.0,52253.7,,93.98,112.65,348.95,117.56,25.78,100.04,17.8,3744.0,114.2,979605.0,176.0,108.82,94.6,87.6
,,,,,2004,,3.0,63918.5,339.64,114.39,164.03,428.7,136.73,30.37,87.71,15.3,3711.0,114.7,974561.0,190.6,138.64,63.0,80.7
,,,,,2005,,3.0,74912.9,356.79,120.44,159.31,490.8,128.68,31.5,85.75,12.2,3737.0,115.1,970994.0,180.1,153.3,62.4,77.4
,,,,,2006,,3.0,91712.4,336.7,127.45,152.64,458.61,123.8,32.71,64.55,14.2,3777.0,109.57,966914.0,204.3,174.27,39.8,77.2
,,,,,2007,,3.0,107442.0,387.31,145.86,152.6,513.17,139.69,35.49,68.63,13.1,3949.0,106.92,964581.0,196.7,190.68,41.8,70.4
,,,,,2008,,3.0,124738.5,347.82,184.77,163.94,558.1,136.61,39.02,168.19,12.0,3859.0,110.76,965156.0,181.4,216.2,31.76,73.309
,,,,,2009,,3.0,121187.7,386.98,171.9,167.24,576.03,139.83,46.88,111.33,13.7,3943.0,113.88,966595.0,162.4,223.81,38.873,67.144
,,,,,2010,,3.0,133525.6,373.95,198.56,173.59,608.89,155.32,53.45,127.28,10.4,4016.0,106.88,969736.0,157.4,243.01,34.7,64.8
,,,,,2011,,3.0,153624.1,623.15,225.73,196.19,695.05,190.83,65.03,148.09,9.0,4055.0,108.33,971538.0,162.4,293.51,31.0,61.1
,,,,,2012,,3.0,164737.8,647.93,238.26,204.12,743.9,193.22,66.45,149.52,7.9,4160.0,106.94,971391.0,150.6,349.77,29.7,63.9
,,,,,2013,,3.0,176888.9,798.9,308.09,220.11,795.53,206.35,73.32,157.77,8.0,4359.0,106.14,971810.0,164.1,460.99,25.8,58.3
,,,,,2014,,3.0,184815.6,,414.48,269.45,943.21,220.19,86.1,174.57,8.4,4333.0,106.8,973860.0,,594.95,24.996,52.757
,,,,,2015,,3.0,,,459.42,341.31,1076.55,219.15,96.93,200.4,9.2,,114.53,978495.0,,616.31,,
1.0,0.1,25.9,6.4,10.6,2003,,4.0,6903.9,,111.75,104.8,320.14,131.87,25.85,79.42,10.2,765.0,113.5,203038.0,214.5,112.14,116.2,101.9
1.1,0.1,25.4,6.7,11.2,2004,,4.0,8516.7,438.06,108.71,132.11,459.58,133.88,31.59,84.62,9.6,775.0,112.1,202571.0,263.3,130.33,89.9,89.4
1.2,0.1,27.1,6.0,11.7,2005,,4.0,8805.8,508.38,147.4,139.19,577.41,136.89,32.56,84.03,9.4,785.0,111.1,202333.0,232.7,136.98,96.5,87.2
0.8,0.1,32.4,4.0,9.5,2006,,4.0,11609.4,409.19,168.03,154.13,647.08,146.06,33.18,89.74,11.4,816.0,107.6,201674.0,228.5,144.32,71.2,89.8
0.7,0.3,39.4,4.8,10.5,2007,,4.0,15108.5,396.26,174.82,157.4,929.84,133.2,33.31,98.94,8.9,839.0,106.37,201744.0,236.6,156.35,38.8,71.8
0.8,0.4,46.7,6.0,10.5,2008,,4.0,18701.0,467.08,193.02,184.34,838.42,159.29,36.32,123.31,12.6,856.0,111.14,203128.0,195.7,169.3,24.5,73.019
0.8,0.4,60.7,5.5,10.4,2009,,4.0,19911.6,546.89,214.01,189.22,997.57,186.07,41.96,148.82,13.6,898.0,112.01,204687.0,152.7,182.72,35.244,68.583
1.1,0.4,59.9,6.1,9.9,2010,,4.0,22393.7,583.76,257.02,224.51,981.82,204.69,45.47,203.16,12.2,898.0,107.02,205386.0,136.0,192.1,42.7,65.5
1.16,0.52,61.96,5.71,10.19,2011,,4.0,26380.8,623.5,320.75,267.69,917.43,249.29,61.46,277.27,12.8,889.0,108.23,206530.0,192.8,221.81,30.4,72.8
1.0,0.5,62.9,5.2,9.9,2012,,4.0,30444.6,658.31,323.45,261.38,906.01,254.8,63.91,298.8,11.6,902.0,106.33,208425.0,208.2,278.32,31.5,65.0
1.0,0.4,59.5,4.2,9.1,2013,,4.0,33313.5,710.66,332.32,299.92,996.48,270.73,70.85,303.88,11.5,972.0,105.9,210344.0,237.4,371.36,26.1,65.9
1.4,0.4,39.0,4.2,8.8,2014,,4.0,39134.5,,342.36,320.3,1110.22,298.94,83.27,309.18,10.4,1000.0,105.75,211645.0,,591.73,21.629,59.714
1.5,0.4,35.2,4.1,8.4,2015,,4.0,,,345.17,358.07,1231.91,310.57,94.87,382.33,9.7,,113.4,213703.0,,570.51,,
1.2,0.2,9.7,2.9,8.7,2003,,5.0,57626.7,,57.06,114.13,306.53,70.83,27.06,55.92,20.9,9773.0,109.5,2581412.0,56.6,75.95,0.8,3.2
1.5,0.3,6.6,2.8,9.5,2004,,5.0,80712.4,172.12,60.75,125.15,339.74,75.25,27.46,57.47,27.2,10022.0,109.1,2617502.0,53.9,79.58,0.8,4.7
1.5,0.3,10.4,2.4,10.8,2005,,5.0,90442.6,174.18,68.22,170.23,367.5,82.57,30.24,58.59,22.1,10062.0,110.5,2652711.0,53.9,86.44,1.0,4.7
1.3,0.4,6.9,2.9,11.7,2006,,5.0,124153.5,191.47,75.72,211.59,443.25,89.19,32.27,59.96,22.1,10635.0,108.74,2692619.0,52.0,104.15,1.1,3.5
1.2,0.3,5.9,2.4,12.2,2007,,5.0,156928.8,187.32,78.29,156.6,493.64,100.08,34.16,68.31,20.2,10636.0,107.07,2735837.0,55.4,114.11,0.7,3.8
0.7,0.3,6.6,3.1,12.9,2008,,5.0,216277.2,227.61,92.73,164.76,547.79,105.18,38.38,72.7,13.2,10827.0,113.92,2788600.0,53.0,130.7,1.222,3.297
0.7,0.3,6.3,3.8,13.2,2009,,5.0,257832.7,269.75,130.04,172.4,609.41,120.55,44.25,80.24,13.2,10781.0,116.35,2826525.0,59.5,144.53,1.064,3.67
0.4,0.3,3.1,3.3,10.2,2010,,5.0,274354.2,308.97,135.73,207.29,650.95,127.74,49.54,89.99,14.8,11432.0,110.87,2868759.0,58.4,184.59,1.2,3.3
0.38,0.37,2.74,3.27,7.88,2011,,5.0,330322.8,398.4,166.62,228.29,678.29,147.33,62.24,102.17,12.7,11561.0,111.7,2914204.0,54.0,210.62,0.4,3.0
0.4,0.4,2.5,1.6,8.0,2012,,5.0,374710.3,373.09,173.3,322.34,762.25,155.31,65.63,99.65,11.7,11547.0,107.36,2930449.0,48.3,259.47,0.6,2.6
0.3,0.3,2.1,1.0,4.8,2013,,5.0,452882.2,456.24,206.67,330.42,861.0,168.78,71.93,111.44,11.6,11672.0,107.05,2946035.0,46.9,350.36,0.4,2.6
0.2,0.3,2.2,0.4,2.9,2014,,5.0,538340.2,,235.35,338.76,916.14,178.31,81.38,128.47,10.2,11939.0,102.15,2963918.0,,481.81,0.336,3.023
0.3,0.3,0.9,0.4,1.9,2015,,5.0,,,274.04,335.15,991.99,182.18,94.62,155.26,10.8,,115.54,2990371.0,,520.93,,
0.8,0.5,8.9,6.0,4.6,2003,,6.0,4756.6,,120.0,120.0,160.0,150.0,28.72,55.0,55.8,1089.0,113.9,468773.0,41.1,75.32,0.0,1.1
0.8,0.8,7.4,6.4,3.6,2004,,6.0,6210.4,,138.08,130.0,160.0,141.02,33.4,49.05,43.5,1100.0,109.9,451933.0,40.0,63.0,0.0,0.6
0.1,0.0,0.8,0.2,0.8,2005,,6.0,7419.3,,130.0,120.0,160.0,132.0,33.0,45.0,63.1,1127.0,115.5,433685.0,45.1,85.0,0.2,0.0
0.1,0.0,0.9,0.3,1.0,2006,,6.0,9033.5,,140.8,128.64,175.8,145.0,36.68,51.02,57.8,1154.0,113.51,417392.0,54.8,100.5,0.0,0.4
0.1,0.0,1.0,0.3,1.0,2007,,6.0,16812.4,,146.95,131.81,180.15,163.23,36.71,50.0,46.6,1199.0,110.11,406739.0,49.2,100.0,0.2,0.4
0.0,0.0,0.0,0.0,0.0,2008,,6.0,19172.9,,151.45,132.29,182.94,166.71,37.71,50.85,53.3,1246.0,112.28,406621.0,47.3,106.7,0.198,0.0
0.0,0.0,0.0,0.0,0.1,2009,,6.0,18953.3,,167.68,137.13,190.0,169.42,39.42,52.06,53.2,1296.0,114.68,409210.0,49.7,138.55,0.0,0.39
