sellChampagne,sellConjac,sellBeer,sellVina,sellVodka,year,region,id,poisoning,grp,unemploy,regname,mortality_females,mortality_males,mortality_all,alcohol_sales,log_sales,loggrp,beer_share,vodka_share,vine_share,ratio_vodka_beer,log_poison,log_mortality_males,log_mortality_all,population,region_eng,rayon,rayon_name,fedokrug,fedokrug_name,pop2000,loggrp_pc,_Iyear_1999,_Iyear_2000,_Iyear_2001,_Iyear_2002,_Iyear_2003,_Iyear_2004,_Iyear_2005,_Iyear_2006,_Iyear_2007,_Iyear_2008,_Iyear_2009,_Iyear_2010,_Iyear_2011,_Iyear_2012,_Iyear_2013,_Iyear_2014,_Iyear_2015,_Ifedokrug_1002,_Ifedokrug_1003,_Ifedokrug_1004,_Ifedokrug_1005,_Ifedokrug_1006,_Ifedokrug_1007,id_year,region_name
0.3,0.1,8.8,1.9,3.4,1998, Adygeja,1,15.3,3112.6,15.8,Ðåñïóáëèêà Àäûãåÿ,3113.0,3132.0,6245.0,2.104,0.74384034,8.043214,20.912546,64.63878,0.108365014,3.090909,2.7278528,8.049427,8.739536,450590.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,45.0,-4.975099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108,Republic of Adygea
0.3,0.1,11.2,2.3,4.3,1999, Adygeja,1,19.3,4524.8,19.6,Ðåñïóáëèêà Àäûãåÿ,3107.0,3108.0,6215.0,2.632,0.967744,8.417329,21.276596,65.34954,0.10486323,3.0714285,2.960105,8.041735,8.734721,449693.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-4.5989914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,109,Republic of Adygea
0.6,0.1,27.4,3.1,5.4,2000, Adygeja,1,18.1,5519.6,14.3,Ðåñïóáëèêà Àäûãåÿ,3361.0,3349.0,6710.0,4.014,1.3897883,8.61606,34.130543,53.811657,0.092675634,1.5766424,2.895912,8.116417,8.811355,448192.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-4.396917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,110,Republic of Adygea
0.5,0.1,22.0,3.8,7.8,2001, Adygeja,1,32.4,6641.8,14.1,Ðåñïóáëèêà Àäûãåÿ,3186.0,3380.0,6566.0,4.776,1.5636034,8.801138,23.031826,65.32663,0.09547739,2.8363636,3.4781585,8.125631,8.78966,446975.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-4.20912,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,111,Republic of Adygea
0.7,0.3,30.4,4.4,7.9,2002, Adygeja,1,29.1,7909.9,13.5,Ðåñïóáëèêà Àäûãåÿ,3275.0,3440.0,6715.0,5.412,1.6886188,8.97587,28.085735,58.388763,0.09756097,2.0789473,3.3707383,8.143227,8.812099,446729.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-4.0338373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,112,Republic of Adygea
1.0,0.5,36.2,4.3,8.0,2003, Adygeja,1,29.6,9849.3,15.5,Ðåñïóáëèêà Àäûãåÿ,3332.0,3597.0,6929.0,5.846,1.7657577,9.195156,30.96134,54.73828,0.08826548,1.7679558,3.3877745,8.187856,8.843471,446035.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-3.8129966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113,Republic of Adygea
1.0,0.3,27.5,4.1,8.6,2004, Adygeja,1,27.9,12493.2,17.3,Ðåñïóáëèêà Àäûãåÿ,3210.0,3435.0,6645.0,5.547,1.7132572,9.43294,24.788174,62.015503,0.08869659,2.5018182,3.3286266,8.141772,8.80162,444840.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-3.5725305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,114,Republic of Adygea
1.1,0.4,29.7,4.4,10.4,2005, Adygeja,1,33.6,17029.1,13.0,Ðåñïóáëèêà Àäûãåÿ,3194.0,3532.0,6726.0,6.465,1.866403,9.742679,22.969837,64.34648,0.08167053,2.8013468,3.5145261,8.16962,8.813736,443587.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-3.2599707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,115,Republic of Adygea
0.7,0.3,32.4,3.8,8.1,2006, Adygeja,1,30.5,21132.4,13.9,Ðåñïóáëèêà Àäûãåÿ,3191.0,3495.0,6686.0,5.52,1.7083778,9.958563,29.347824,58.69565,0.08260869,2.0,3.4177268,8.159089,8.807771,441967.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-3.0404277,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,116,Republic of Adygea
0.7,0.5,31.6,4.1,6.8,2007, Adygeja,1,24.9,29085.1,10.3,Ðåñïóáëèêà Àäûãåÿ,3010.0,3444.0,6454.0,5.076,1.6245236,10.277982,31.126871,53.5855,0.09692671,1.721519,3.2148678,8.144389,8.772455,441188.0,Adygeya republic,107,North-Caucasian rayon,1003,Southern Federal Okrug,44.0,-2.7192447,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117,Republic of Adygea
