measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Russian Federation,Both,All ages,HIV/AIDS resulting in other diseases,Number,1980,0.0,0.0,0.0
Deaths,Russian Federation,Both,All ages,Diarrheal diseases,Number,1980,2571.2513456401166,2687.1458563508736,2470.992102551771
Deaths,Russian Federation,Both,All ages,Typhoid fever,Number,1980,4.418996530622377,5.680979961230552,2.9884906691487036
Deaths,Russian Federation,Both,All ages,Paratyphoid fever,Number,1980,0.7856615284922788,1.1913092478195597,0.5323545106281601
Deaths,Russian Federation,Both,All ages,Other intestinal infectious diseases,Number,1980,14.784533795245675,22.246173282987684,8.509970097395158
Deaths,Russian Federation,Both,All ages,Lower respiratory infections,Number,1980,30200.305562686528,30896.573957811965,29595.18058236682
Deaths,Russian Federation,Both,All ages,Upper respiratory infections,Number,1980,1693.2843431991166,1772.7063536366845,1616.9710383978222
Deaths,Russian Federation,Both,All ages,Otitis media,Number,1980,7.255442184570801,12.210967430585965,4.123216489449202
Deaths,Russian Federation,Both,All ages,Meningitis,Number,1980,2923.33577660272,2975.3265436627903,2871.941713966608
Deaths,Russian Federation,Both,All ages,Encephalitis,Number,1980,1628.9489445566257,1675.7153870282243,1587.507575123899
Deaths,Russian Federation,Both,All ages,Multiple myeloma,Number,1980,1270.5097883689737,1312.4539856430288,1233.4766676286922
Deaths,Russian Federation,Both,All ages,Other malignant neoplasms,Number,1980,6883.249610026219,7079.063204494794,6704.470628096853
Deaths,Russian Federation,Both,All ages,Rheumatic heart disease,Number,1980,12648.365428716916,14164.05742425601,11835.471336847164
Deaths,Russian Federation,Both,All ages,Ischemic heart disease,Number,1980,436091.3852563909,445582.724271586,418775.36222233396
Deaths,Russian Federation,Both,All ages,Ischemic stroke,Number,1980,230842.12492940863,237596.4915359189,220152.32978423138
Deaths,Russian Federation,Both,All ages,Intracerebral hemorrhage,Number,1980,64928.693546743714,68022.89102573581,62092.5117320889
Deaths,Russian Federation,Both,All ages,Subarachnoid hemorrhage,Number,1980,8064.853294800972,8448.01908502661,7565.474978503665
Deaths,Russian Federation,Both,All ages,Hypertensive heart disease,Number,1980,5211.210663252635,5428.6982368819745,5038.175052285851
Deaths,Russian Federation,Both,All ages,Atrial fibrillation and flutter,Number,1980,3839.5122215789715,4356.0012020083705,3419.00803290709
Deaths,Russian Federation,Both,All ages,Aortic aneurysm,Number,1980,3630.905898346251,3696.0562306914962,3551.820484689664
Deaths,Russian Federation,Both,All ages,Lower extremity peripheral arterial disease,Number,1980,5920.231130453688,6724.886017712834,5250.263205107632
Deaths,Russian Federation,Both,All ages,Endocarditis,Number,1980,285.1173423674626,292.8789792479135,276.61006108326563
Deaths,Russian Federation,Both,All ages,Other cardiovascular and circulatory diseases,Number,1980,3726.497701934427,3811.153832412752,3610.447248338195
Deaths,Russian Federation,Both,All ages,Maternal hypertensive disorders,Number,1981,205.26310509834968,250.43941395477518,174.01514616597666
Deaths,Russian Federation,Both,All ages,Maternal obstructed labor and uterine rupture,Number,1981,42.26149330480065,53.713233025236256,32.41853900684378
Deaths,Russian Federation,Both,All ages,Ectopic pregnancy,Number,1981,223.42948602348227,276.1704573836853,182.68215205133822
Deaths,Russian Federation,Both,All ages,Chronic obstructive pulmonary disease,Number,1980,57140.091530296595,58391.50431542145,55214.47803850637
Deaths,Russian Federation,Both,All ages,Congenital musculoskeletal and limb anomalies,Number,1980,150.8154871812863,213.59575015800115,124.71789472911821
Deaths,Russian Federation,Both,All ages,Urogenital congenital anomalies,Number,1980,168.41431068357787,200.0237846998858,101.32847240005233
Deaths,Russian Federation,Both,All ages,Digestive congenital anomalies,Number,1980,1383.1701140209111,1667.3878816812894,1086.2693658192452
Deaths,Russian Federation,Both,All ages,Other congenital birth defects,Number,1980,3793.3130220911416,4653.624558347781,2439.6234647233373
Deaths,Russian Federation,Both,All ages,Cellulitis,Number,1980,673.2885608975798,709.056680135888,641.9566535341692
Deaths,Russian Federation,Both,All ages,Pyoderma,Number,1980,349.3194479638436,377.57420327542894,314.89991033201727
Deaths,Russian Federation,Both,All ages,Decubitus ulcer,Number,1980,25.849607967561955,27.65314560718828,24.400508291724407
Deaths,Russian Federation,Both,All ages,Other skin and subcutaneous diseases,Number,1980,47.15754606627452,51.200170944019035,43.03403491339866
Deaths,Russian Federation,Both,All ages,Sudden infant death syndrome,Number,1980,766.5999133439898,929.3396375694291,543.188689656165
Deaths,Russian Federation,Both,All ages,Pedestrian road injuries,Number,1980,24697.613209671952,25966.045235452373,22984.919731137372
Deaths,Russian Federation,Both,All ages,Cyclist road injuries,Number,1980,415.2736849350463,468.0628381371844,383.01801021703216
Deaths,Russian Federation,Both,All ages,Stomach cancer,Number,1981,64255.32242450577,65630.77101387875,62613.72373875401
Deaths,Russian Federation,Both,All ages,Motorcyclist road injuries,Number,1980,2215.4013741765866,4087.6304014100465,1696.3504032322494
Deaths,Russian Federation,Both,All ages,Motor vehicle road injuries,Number,1980,13758.296764191506,14694.135437228037,13009.634057368587
Deaths,Russian Federation,Both,All ages,Other road injuries,Number,1980,162.2609428234628,177.92514480106306,105.04381168772207
Deaths,Russian Federation,Both,All ages,Other transport injuries,Number,1980,2774.419910874592,2856.1282772051377,2718.7174767301685
Deaths,Russian Federation,Both,All ages,Falls,Number,1980,9572.650023153052,9721.815832361579,9406.053088719536
Deaths,Russian Federation,Both,All ages,Drowning,Number,1980,17461.702382833468,17748.815175364296,17215.225197603886
Deaths,Russian Federation,Both,All ages,Maternal abortion and miscarriage,Number,1980,435.28036388610803,535.2250694268613,350.56424933138106
Deaths,Russian Federation,Both,All ages,Liver cancer due to NASH,Number,1980,168.82231328357946,193.00334277879398,144.55621544144927
Deaths,Russian Federation,Both,All ages,Chronic kidney disease due to diabetes mellitus type 1,Number,1980,1254.5705977070493,1616.9412835387695,981.7769992133776
Deaths,Russian Federation,Both,All ages,Chronic kidney disease due to diabetes mellitus type 2,Number,1980,681.2480721673533,899.8704602535068,514.5307703374847
Deaths,Russian Federation,Both,All ages,Pulmonary Arterial Hypertension,Number,1980,477.4664260558099,550.8774217979106,430.4260184414254
Deaths,Russian Federation,Both,All ages,Hepatoblastoma,Number,1980,66.69207051140735,70.98058993255096,62.55136428230851
Deaths,Russian Federation,Both,All ages,Burkitt lymphoma,Number,1980,38.403599289565804,56.803930111795516,23.579956169104015
Deaths,Russian Federation,Both,All ages,Other non-Hodgkin lymphoma,Number,1980,3089.3951838685157,3172.8474648358756,3011.3880396964255
Deaths,Russian Federation,Both,All ages,Retinoblastoma,Number,1980,16.32038641111253,22.144870326739465,11.737784217584672
Deaths,Russian Federation,Both,All ages,Other eye cancers,Number,1980,205.85236612104964,245.69595346363212,168.667151509864
Deaths,Russian Federation,Both,All ages,Soft tissue and other extraosseous sarcomas,Number,1980,868.1537208167417,948.6611568358734,732.4128589856101
Deaths,Russian Federation,Both,All ages,Indirect maternal deaths,Number,1981,188.79977000376167,230.21010903734668,155.14015768470907
Deaths,Russian Federation,Both,All ages,Late maternal deaths,Number,1981,52.87284540490975,70.44420890967635,38.64070104313949
Deaths,Russian Federation,Both,All ages,Other direct maternal disorders (internal),Number,1981,240.37083229351865,295.4443498115969,194.8416696058152
Deaths,Russian Federation,Both,All ages,Neonatal preterm birth,Number,1981,7309.2361239811235,7636.542150253052,6986.448237154111
Deaths,Russian Federation,Both,All ages,Neonatal encephalopathy due to birth asphyxia and trauma,Number,1981,11203.275799103192,11702.798058157632,10736.973502182496
Deaths,Russian Federation,Both,All ages,Neonatal sepsis and other neonatal infections,Number,1981,1261.9065229355517,1315.115105483377,1204.6127166730266
Deaths,Russian Federation,Both,All ages,Hemolytic disease and other neonatal jaundice,Number,1981,813.282022861724,893.3438591158192,726.402291691277
Deaths,Russian Federation,Both,All ages,Other neonatal disorders,Number,1981,480.78654983992107,505.80548092042653,454.4093725338712
Deaths,Russian Federation,Both,All ages,Protein-energy malnutrition,Number,1981,175.7655338958028,180.03975325765452,171.4650913271987
Deaths,Russian Federation,Both,All ages,Other nutritional deficiencies,Number,1981,165.59450151778535,169.90792000010438,160.85143411665914
Deaths,Russian Federation,Both,All ages,Syphilis,Number,1981,122.22521005559891,134.87065374332045,111.7474898858378
Deaths,Russian Federation,Both,All ages,Chlamydial infection,Number,1981,42.025817699991606,44.6991399342156,40.1403650258892
Deaths,Russian Federation,Both,All ages,Gonococcal infection,Number,1981,18.270242532788505,19.7711974057932,17.164164628788793
Deaths,Russian Federation,Both,All ages,Other sexually transmitted infections,Number,1981,138.41309060969076,147.53790019204246,132.1695762041561
Deaths,Russian Federation,Both,All ages,Acute hepatitis A,Number,1981,15.317434939952845,23.945933211485528,7.895859067812843
Deaths,Russian Federation,Both,All ages,Acute hepatitis B,Number,1981,156.05645269266626,170.7712624585666,140.35538094214795
Deaths,Russian Federation,Both,All ages,Acute hepatitis C,Number,1981,3.8755054963830124,4.857477783986135,2.8851867903640906
Deaths,Russian Federation,Both,All ages,Acute hepatitis E,Number,1981,0.4143490251050128,0.5605256856818567,0.2886457519218476
Deaths,Russian Federation,Both,All ages,Other unspecified infectious diseases,Number,1981,977.6496887081488,1017.8382288723392,934.6850553416836
Deaths,Russian Federation,Both,All ages,Diphtheria,Number,1980,15.78330937867744,21.76677144349988,10.378169684136013
Deaths,Russian Federation,Both,All ages,Pertussis,Number,1980,9.427718937479993,14.11781974366186,4.801801187310214
Deaths,Russian Federation,Both,All ages,Tetanus,Number,1980,87.49078781143119,112.39747263312171,62.37209128188241
Deaths,Russian Federation,Both,All ages,Measles,Number,1980,71.97357205948006,91.52695661261198,56.27869120083279
Deaths,Russian Federation,Both,All ages,Varicella and herpes zoster,Number,1980,39.88998675799854,42.35596498789687,37.36411218030336
Deaths,Russian Federation,Both,All ages,Malignant neoplasm of bone and articular cartilage,Number,1980,2786.5334372420393,2869.386090752351,2691.604765875573
Deaths,Russian Federation,Both,All ages,Neuroblastoma and other peripheral nervous cell tumors,Number,1980,110.74120961612303,154.9690778777478,79.41049493162913
Deaths,Russian Federation,Both,All ages,Total burden related to hepatitis B,Number,1980,2231.6495119476094,2498.513596940829,1975.6096661548945
Deaths,Russian Federation,Both,All ages,Total burden related to hepatitis C,Number,1980,2782.195732650308,3223.252069721089,2409.2829290016125
Deaths,Russian Federation,Both,All ages,Total burden related to Non-alcoholic fatty liver disease (NAFLD),Number,1980,1147.5825085570239,1530.2664238873479,860.0578556128858
Deaths,Russian Federation,Both,All ages,Total cancers,Number,1980,239137.1322437601,243911.85794387697,234131.44612546268
Deaths,Russian Federation,Both,All ages,COVID-19,Number,1980,0.0,0.0,0.0
Deaths,Russian Federation,Both,All ages,Esophageal cancer,Number,1981,7942.61331483759,8116.473252330426,7732.364356686057
Deaths,Russian Federation,Both,All ages,Alzheimer's disease and other dementias,Number,1981,21440.919747162185,59385.7606160395,5190.683131841658
Deaths,Russian Federation,Both,All ages,Parkinson's disease,Number,1981,4813.365500321237,4911.578669928085,4586.745444443807
Deaths,Russian Federation,Both,All ages,Idiopathic epilepsy,Number,1981,2169.3657481571695,2212.584957152533,2123.7677762184785
Deaths,Russian Federation,Both,All ages,Multiple sclerosis,Number,1981,525.2879139408716,542.1971008625367,511.7345881550734
