measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Belarus,Both,All ages,Alcoholic cardiomyopathy,Rate,1991,9.131591655209851,11.043827196167177,7.53732481249591
Deaths,France,Both,All ages,Alcoholic cardiomyopathy,Rate,1990,0.6523865253194786,0.7068545009915693,0.6016005889441404
Deaths,United States of America,Both,All ages,Cirrhosis due to alcohol,Rate,1992,4.120630249459212,4.492696215076839,3.7682592593151383
Deaths,China,Both,All ages,Cirrhosis due to alcohol,Rate,1990,0.9305108242000636,1.1679209901706702,0.7080015796091991
Deaths,China,Both,All ages,Cirrhosis due to alcohol,Rate,1992,0.8933412039486116,1.1160063861507683,0.7175910657682365
Deaths,China,Both,All ages,Liver cancer due to alcohol use,Rate,1990,0.643840059267984,0.8225682561506967,0.4979366443243189
Deaths,United States of America,Both,All ages,Liver cancer due to alcohol use,Rate,1992,0.7994580449164476,0.8948345434594489,0.7255404259658689
Deaths,United States of America,Both,All ages,Liver cancer due to alcohol use,Rate,1990,0.7348043156332967,0.8237560211063779,0.6644667871188805
Deaths,France,Both,All ages,Alcohol use disorders,Rate,1991,5.272343554698585,5.436624826704064,5.113372442405263
Deaths,China,Both,All ages,Alcohol use disorders,Rate,1992,0.820910288073485,1.0910283202389153,0.6738155811857128
Deaths,France,Both,All ages,Liver cancer due to alcohol use,Rate,1995,3.26794726589495,4.124814944863324,2.348389873440817
Deaths,Russian Federation,Both,All ages,Alcohol use disorders,Rate,1995,40.1381406472426,40.592258165886896,39.637121580388964
Deaths,United States of America,Both,All ages,Alcohol use disorders,Rate,1990,2.855285637122891,2.902157422785712,2.8029305649921143
Deaths,Denmark,Both,All ages,Liver cancer due to alcohol use,Rate,1990,0.8693464128466344,1.1120261275035341,0.672303794496567
Deaths,United States of America,Both,All ages,Alcoholic cardiomyopathy,Rate,1990,1.781511568669868,1.9032850454139452,1.6441987097745996
Deaths,Denmark,Both,All ages,Alcoholic cardiomyopathy,Rate,1990,1.0775476788150409,1.2133027507539569,0.946733367275397
Deaths,France,Both,All ages,Cirrhosis due to alcohol,Rate,1990,10.077441449736801,11.754395574601253,8.3715347937756
Deaths,Russian Federation,Both,All ages,Cirrhosis due to alcohol,Rate,1991,5.33357530792934,5.799018908593981,4.909688821892326
Deaths,China,Both,All ages,Alcohol use disorders,Rate,1990,0.8228889933371349,1.0501733753384979,0.6536956080912605
Deaths,United States of America,Both,All ages,Cirrhosis due to alcohol,Rate,1994,4.0679937210713,4.401114073406095,3.7342295892759405
Deaths,Belarus,Both,All ages,Cirrhosis due to alcohol,Rate,1992,3.728140165220858,4.495357042214865,2.933313723900479
Deaths,China,Both,All ages,Liver cancer due to alcohol use,Rate,1992,0.6526714796746222,0.8222655302314257,0.5110174917393948
Deaths,China,Both,All ages,Alcoholic cardiomyopathy,Rate,1992,0.040445465518389775,0.09280379615101775,0.015320512771013404
Deaths,Russian Federation,Both,All ages,Alcohol use disorders,Rate,1991,15.417151950170723,15.879997072727292,15.135369379539485
Deaths,Denmark,Both,All ages,Cirrhosis due to alcohol,Rate,1991,7.153231903242682,8.279643221161404,5.945671228988296
Deaths,Denmark,Both,All ages,Alcohol use disorders,Rate,1991,7.459500604894865,7.803656823695942,7.084586265566712
Deaths,Russian Federation,Both,All ages,Liver cancer due to alcohol use,Rate,1991,0.7266330893403776,0.8098485580407769,0.6448762178194076
Deaths,Belarus,Both,All ages,Liver cancer due to alcohol use,Rate,1990,1.0994145100860657,1.4498899554563283,0.8008313234242147
Deaths,Belarus,Both,All ages,Alcohol use disorders,Rate,1990,13.313812740464005,13.82077264347827,12.735087069731737
Deaths,China,Both,All ages,Liver cancer due to alcohol use,Rate,1994,0.6786168215404019,0.850843524908102,0.5514176767934553
Deaths,China,Both,All ages,Alcoholic cardiomyopathy,Rate,1990,0.040513657394556646,0.09391505237467392,0.014443984523679568
Deaths,United States of America,Both,All ages,Cirrhosis due to alcohol,Rate,1990,4.410536713882588,4.8777149785881555,3.986339128011618
Deaths,France,Both,All ages,Liver cancer due to alcohol use,Rate,1991,2.701894473057864,3.404987088596025,2.0379201631416946
Deaths,China,Both,All ages,Alcohol use disorders,Rate,1994,0.843351488529508,1.0187802573033415,0.7162954368945659
Deaths,Belarus,Both,All ages,Liver cancer due to alcohol use,Rate,1992,1.2346772497600895,1.6053942526863103,0.9214223565139295
Deaths,Belarus,Both,All ages,Alcohol use disorders,Rate,1992,17.440375456970223,18.12598943819922,16.717853110079247
Deaths,France,Both,All ages,Alcoholic cardiomyopathy,Rate,1995,0.5233027949784768,0.5670478684017808,0.48452271142637604
Deaths,Denmark,Both,All ages,Liver cancer due to alcohol use,Rate,1991,0.8807366893871299,1.1167133724290759,0.6743327761964507
Deaths,Denmark,Both,All ages,Alcoholic cardiomyopathy,Rate,1991,1.1005294809337953,1.2241240050817466,0.9847244374164825
Deaths,France,Both,All ages,Cirrhosis due to alcohol,Rate,1991,9.695691610399987,11.2767551189373,8.09373981399124
Deaths,Russian Federation,Both,All ages,Alcoholic cardiomyopathy,Rate,1995,21.73940541241743,22.108075302067583,21.390426186606305
Deaths,United States of America,Both,All ages,Liver cancer due to alcohol use,Rate,1991,0.756744285683859,0.8476133028997196,0.686420510799586
Deaths,United States of America,Both,All ages,Alcohol use disorders,Rate,1991,2.832127165573068,2.8792612890157168,2.778151646125263
Deaths,United States of America,Both,All ages,Alcoholic cardiomyopathy,Rate,1991,1.7723956887831132,1.8823103778018886,1.6435070373115994
Deaths,Belarus,Both,All ages,Liver cancer due to alcohol use,Rate,1994,1.3230604493011255,1.6900442426932694,1.0019876097725204
Deaths,Belarus,Both,All ages,Alcohol use disorders,Rate,1994,22.932369453311885,23.939107514299227,21.947049457684717
Deaths,Belarus,Both,All ages,Alcoholic cardiomyopathy,Rate,1990,8.992194448879552,11.023067580570538,7.311065919745052
Deaths,France,Both,All ages,Alcoholic cardiomyopathy,Rate,1991,0.6160000192913645,0.6629278400288404,0.5669520945130608
Deaths,Belarus,Both,All ages,Cirrhosis due to alcohol,Rate,1990,3.3186880624528707,4.045820873504394,2.5941038788381805
Deaths,Russian Federation,Both,All ages,Alcoholic cardiomyopathy,Rate,1991,10.264167075259737,10.501512741626755,9.959826165186808
Deaths,China,Both,All ages,Alcoholic cardiomyopathy,Rate,1994,0.04457745046622618,0.1060114675368648,0.01570480719492866
Deaths,Belarus,Both,All ages,Alcoholic cardiomyopathy,Rate,1992,9.387165553299143,11.273626464773864,7.758130348806578
Deaths,Russian Federation,Both,All ages,Cirrhosis due to alcohol,Rate,1992,6.042138656068683,6.554686057803826,5.544425449512923
Deaths,China,Both,All ages,Alcohol use disorders,Rate,1991,0.8213480761532922,1.1099833919548425,0.6736753618108134
Deaths,Belarus,Both,All ages,Alcoholic cardiomyopathy,Rate,1994,10.026040090786859,11.69010850668023,8.534375352390327
Deaths,Belarus,Both,All ages,Cirrhosis due to alcohol,Rate,1991,3.602649534846216,4.368317049781746,2.8388069103465154
Deaths,China,Both,All ages,Alcohol use disorders,Rate,1995,0.8480849064283158,1.009465350037947,0.725630172550069
Deaths,France,Both,All ages,Liver cancer due to alcohol use,Rate,1992,2.8052252770410537,3.5308086868354347,2.082764113412398
