Year,Total,Beer,Wine,Spirits
1980,3.1,.,0.9,2.2
1981,3.2,.,0.9,2.2
1982,3.1,.,1.0,2.1
1983,3.2,.,1.1,2.1
1984,3.3,.,1.1,2.2
1985,3.2,.,0.9,2.3
1986,3.3,.,0.9,2.5
1987,3.5,.,0.9,2.6
1988,3.4,.,0.8,2.6
1989,4.1,1.4,0.6,2.1
1990,3.9,1.3,0.6,2.1
1991,3.9,1.2,0.6,2.1
1992,3.6,1.1,0.6,1.9
1993,3.3,1.1,0.6,1.7
1994,3.5,1.4,0.6,1.5
1995,3.6,1.5,0.6,1.5
1996,3.7,1.7,0.7,1.4
1997,3.9,1.8,0.7,1.3
1998,4.3,2.0,0.9,1.3
1999,4.5,2.2,1.0,1.4
2000,4.7,2.3,1.0,1.4
2001,4.9,2.4,1.1,1.3
2002,5.0,2.5,1.2,1.3
2003,5.0,2.6,1.3,1.1
2004,5.2,2.7,1.4,1.1
2005,5.5,2.9,1.5,1.1
2006,5.7,3.0,1.6,1.1
2007,6.0,3.1,1.6,1.2
2008,5.7,2.8,1.7,1.2
2009,5.7,3.0,1.5,1.2
2010,5.4,2.9,1.5,1.0
2011,5.5,3.0,1.5,1.0
2012,5.5,3.1,1.6,0.9
2013,5.5,3.0,1.6,0.9
2014,5.7,3.1,1.6,0.9
2015,6.2,3.5,1.8,1.0
2016,6.1,3.5,1.7,1.0
2017,6.3,3.6,1.8,1.0
2018,6.4,3.6,1.7,1.0
2019,6.2,3.4,1.7,1.0
2020,6.2,3.4,1.8,1.0
2021,6.8,3.6,2.1,1.2
2022,6.5,3.5,1.8,1.2
2023,6.3,3.4,1.8,1.1
