Year,Total,Beer,Wine,Spirits
1980,4.3,.,1.3,3.1
1981,4.3,.,1.3,3.0
1982,4.3,.,1.4,2.9
1983,4.4,.,1.5,2.9
1984,4.5,.,1.5,3.0
1985,4.3,.,1.3,3.1
1986,4.5,.,1.2,3.4
1987,4.7,.,1.1,3.5
1988,4.5,.,1.1,3.5
1989,5.5,1.9,0.8,2.9
1990,5.2,1.7,0.8,2.8
1991,5.1,1.6,0.8,2.8
1992,4.7,1.5,0.8,2.5
1993,4.5,1.5,0.8,2.2
1994,4.6,1.8,0.8,2.0
1995,4.8,2.0,0.8,1.9
1996,4.9,2.2,0.9,1.8
1997,5.1,2.4,1.0,1.7
1998,5.6,2.6,1.2,1.7
1999,5.9,2.9,1.3,1.8
2000,6.1,3.0,1.3,1.8
2001,6.3,3.1,1.5,1.7
2002,6.5,3.3,1.6,1.7
2003,6.5,3.4,1.7,1.5
2004,6.7,3.5,1.8,1.4
2005,7.1,3.7,2.0,1.4
2006,7.2,3.8,2.0,1.5
2007,7.5,4.0,2.0,1.5
2008,7.2,3.6,2.1,1.5
2009,7.2,3.8,1.9,1.5
2010,6.8,3.7,1.9,1.2
2011,7.0,3.8,2.0,1.3
2012,7.0,3.9,2.0,1.1
2013,7.0,3.8,2.0,1.1
2014,7.2,4.0,2.1,1.2
2015,7.8,4.4,2.2,1.3
2016,7.7,4.3,2.1,1.2
2017,7.9,4.5,2.2,1.2
2018,7.9,4.5,2.2,1.3
2019,7.7,4,.,.
