region,priceVodka,pricePivo_rus,pricePivo_for,year
Republic of Adygea,,18.86,54.8,2003
Republic of Adygea,294.93,21.77,58.93,2004
Republic of Adygea,300.51,20.76,55.91,2005
Republic of Adygea,290.78,22.84,57.94,2006
Republic of Adygea,339.91,27.42,63.33,2007
Republic of Adygea,385.69,31.83,138.24,2008
Republic of Adygea,405.07,40.85,159.0,2009
Republic of Adygea,406.67,49.0,219.66,2010
Republic of Adygea,449.93,63.06,236.35,2011
Republic of Adygea,459.85,62.7,236.35,2012
Republic of Adygea,542.11,72.59,211.68,2013
Republic of Adygea,,78.2,224.79,2014
Republic of Adygea,,86.73,351.17,2015
Republic of Bashkortostan,,22.62,122.61,2003
Republic of Bashkortostan,171.4,22.95,126.71,2004
Republic of Bashkortostan,245.0,25.01,95.46,2005
Republic of Bashkortostan,262.72,25.82,91.03,2006
Republic of Bashkortostan,319.32,26.78,98.25,2007
Republic of Bashkortostan,310.79,30.32,106.76,2008
Republic of Bashkortostan,338.77,35.54,121.75,2009
Republic of Bashkortostan,408.69,41.79,133.39,2010
Republic of Bashkortostan,438.92,50.94,146.38,2011
Republic of Bashkortostan,438.56,52.14,148.28,2012
Republic of Bashkortostan,499.93,59.99,163.51,2013
Republic of Bashkortostan,,69.37,172.89,2014
Republic of Bashkortostan,,80.44,164.97,2015
,,25.78,100.04,2003
,339.64,30.37,87.71,2004
,356.79,31.5,85.75,2005
,336.7,32.71,64.55,2006
,387.31,35.49,68.63,2007
,347.82,39.02,168.19,2008
,386.98,46.88,111.33,2009
,373.95,53.45,127.28,2010
,623.15,65.03,148.09,2011
,647.93,66.45,149.52,2012
,798.9,73.32,157.77,2013
,,86.1,174.57,2014
,,96.93,200.4,2015
Altai Republic,,25.85,79.42,2003
Altai Republic,438.06,31.59,84.62,2004
Altai Republic,508.38,32.56,84.03,2005
Altai Republic,409.19,33.18,89.74,2006
Altai Republic,396.26,33.31,98.94,2007
Altai Republic,467.08,36.32,123.31,2008
Altai Republic,546.89,41.96,148.82,2009
Altai Republic,583.76,45.47,203.16,2010
Altai Republic,623.5,61.46,277.27,2011
Altai Republic,658.31,63.91,298.8,2012
Altai Republic,710.66,70.85,303.88,2013
Altai Republic,,83.27,309.18,2014
Altai Republic,,94.87,382.33,2015
Republic of Dagestan,,27.06,55.92,2003
Republic of Dagestan,172.12,27.46,57.47,2004
Republic of Dagestan,174.18,30.24,58.59,2005
Republic of Dagestan,191.47,32.27,59.96,2006
