region_name,alcohol_sales,ratio_vodka_beer,year
Republic of Adygea,2.1,3.09,1998
Republic of Adygea,2.63,3.07,1999
Republic of Adygea,4.01,1.58,2000
Republic of Adygea,4.78,2.84,2001
Republic of Adygea,5.41,2.08,2002
Republic of Adygea,5.85,1.77,2003
Republic of Adygea,5.55,2.5,2004
Republic of Adygea,6.46,2.8,2005
Republic of Adygea,5.52,2.0,2006
Republic of Adygea,5.08,1.72,2007
Republic of Adygea,5.35,1.66,2008
Republic of Adygea,6.02,1.88,2009
Republic of Adygea,5.55,1.68,2010
Republic of Adygea,5.39,1.54,2011
Republic of Adygea,4.77,1.3,2012
Republic of Adygea,4.5,1.02,2013
Republic of Adygea,3.98,1.14,2014
Republic of Adygea,3.7,1.12,2015
Republic of Bashkortostan,5.56,4.89,1998
Republic of Bashkortostan,6.23,4.3,1999
Republic of Bashkortostan,6.81,2.95,2000
Republic of Bashkortostan,6.32,2.5,2001
Republic of Bashkortostan,6.33,2.18,2002
Republic of Bashkortostan,4.87,2.66,2003
Republic of Bashkortostan,5.71,2.08,2004
Republic of Bashkortostan,6.57,1.86,2005
Republic of Bashkortostan,8.14,1.24,2006
Republic of Bashkortostan,8.42,1.29,2007
Republic of Bashkortostan,8.62,0.89,2008
Republic of Bashkortostan,8.23,0.9,2009
Republic of Bashkortostan,7.86,0.87,2010
Republic of Bashkortostan,8.16,1.37,2011
Republic of Bashkortostan,9.33,1.2,2012
Republic of Bashkortostan,9.65,0.96,2013
Republic of Bashkortostan,8.21,1.01,2014
Republic of Bashkortostan,6.82,0.66,2015
Altai Republic,4.49,9.47,1998
Altai Republic,4.1,12.39,1999
Altai Republic,5.3,6.48,2000
Altai Republic,6.01,4.53,2001
Altai Republic,6.43,2.61,2002
Altai Republic,6.46,3.27,2003
Altai Republic,6.73,3.53,2004
Altai Republic,6.94,3.45,2005
Altai Republic,6.04,2.35,2006
Altai Republic,6.95,2.13,2007
Altai Republic,7.51,1.8,2008
Altai Republic,8.11,1.37,2009
Altai Republic,7.98,1.32,2010
Altai Republic,8.21,1.32,2011
Altai Republic,8.05,1.26,2012
Altai Republic,7.4,1.22,2013
Altai Republic,6.3,1.81,2014
Altai Republic,5.95,1.91,2015
Republic of Dagestan,1.75,4.21,1998
Republic of Dagestan,1.0,5.0,1999
Republic of Dagestan,1.01,4.44,2000
Republic of Dagestan,1.52,4.36,2001
Republic of Dagestan,2.92,4.08,2002
Republic of Dagestan,4.54,7.18,2003
Republic of Dagestan,4.77,11.52,2004
Republic of Dagestan,5.43,8.31,2005
Republic of Dagestan,5.69,13.57,2006
Republic of Dagestan,5.73,16.54,2007
Republic of Dagestan,6.07,15.64,2008
Republic of Dagestan,6.26,16.76,2009
Republic of Dagestan,4.8,26.32,2010
Republic of Dagestan,3.88,23.01,2011
Republic of Dagestan,3.72,25.6,2012
Republic of Dagestan,2.3,18.29,2013
Republic of Dagestan,1.46,10.55,2014
Republic of Dagestan,1.01,16.89,2015
Kabardino-Balkar Republic,3.44,5.25,1998
Kabardino-Balkar Republic,4.29,5.21,1999
Kabardino-Balkar Republic,5.6,4.86,2000
Kabardino-Balkar Republic,6.9,3.74,2001
Kabardino-Balkar Republic,7.94,3.53,2002
Kabardino-Balkar Republic,7.99,2.6,2003
Kabardino-Balkar Republic,7.96,2.25,2004
Kabardino-Balkar Republic,6.51,2.62,2005
Kabardino-Balkar Republic,5.19,1.39,2006
Kabardino-Balkar Republic,3.88,1.68,2007
Kabardino-Balkar Republic,4.01,1.61,2008
Kabardino-Balkar Republic,3.58,0.98,2009
Kabardino-Balkar Republic,3.3,1.07,2010
Kabardino-Balkar Republic,2.94,1.06,2011
