region,priceVodka,sellVodka,year
Republic of Adygea,,8.0,2003
Republic of Adygea,294.93,8.6,2004
Republic of Adygea,300.51,10.4,2005
Republic of Adygea,290.78,8.1,2006
Republic of Adygea,339.91,6.8,2007
Republic of Adygea,385.69,6.4,2008
Republic of Adygea,405.07,7.4,2009
Republic of Adygea,406.67,6.6,2010
Republic of Adygea,449.93,6.9,2011
Republic of Adygea,459.85,5.6,2012
Republic of Adygea,542.11,4.7,2013
Republic of Adygea,,4.1,2014
Republic of Adygea,,3.8,2015
Republic of Bashkortostan,,8.3,2003
Republic of Bashkortostan,171.4,9.2,2004
Republic of Bashkortostan,245.0,10.0,2005
Republic of Bashkortostan,262.72,10.6,2006
Republic of Bashkortostan,319.32,11.1,2007
Republic of Bashkortostan,310.79,9.6,2008
Republic of Bashkortostan,338.77,9.1,2009
Republic of Bashkortostan,408.69,8.7,2010
Republic of Bashkortostan,438.92,10.97,2011
Republic of Bashkortostan,438.56,11.7,2012
Republic of Bashkortostan,499.93,10.8,2013
Republic of Bashkortostan,,9.5,2014
Republic of Bashkortostan,,6.2,2015
,,,2003
,339.64,,2004
,356.79,,2005
,336.7,,2006
,387.31,,2007
,347.82,,2008
,386.98,,2009
,373.95,,2010
,623.15,,2011
,647.93,,2012
,798.9,,2013
,,,2014
,,,2015
Altai Republic,,10.6,2003
Altai Republic,438.06,11.2,2004
Altai Republic,508.38,11.7,2005
Altai Republic,409.19,9.5,2006
Altai Republic,396.26,10.5,2007
Altai Republic,467.08,10.5,2008
Altai Republic,546.89,10.4,2009
Altai Republic,583.76,9.9,2010
Altai Republic,623.5,10.19,2011
Altai Republic,658.31,9.9,2012
Altai Republic,710.66,9.1,2013
Altai Republic,,8.8,2014
Altai Republic,,8.4,2015
Republic of Dagestan,,8.7,2003
Republic of Dagestan,172.12,9.5,2004
Republic of Dagestan,174.18,10.8,2005
Republic of Dagestan,191.47,11.7,2006
Republic of Dagestan,187.32,12.2,2007
Republic of Dagestan,227.61,12.9,2008
Republic of Dagestan,269.75,13.2,2009
Republic of Dagestan,308.97,10.2,2010
Republic of Dagestan,398.4,7.88,2011
Republic of Dagestan,373.09,8.0,2012
Republic of Dagestan,456.24,4.8,2013
Republic of Dagestan,,2.9,2014
Republic of Dagestan,,1.9,2015
Republic of Ingushetia,,4.6,2003
Republic of Ingushetia,,3.6,2004
Republic of Ingushetia,,0.8,2005
Republic of Ingushetia,,1.0,2006
Republic of Ingushetia,,1.0,2007
Republic of Ingushetia,,0.0,2008
Republic of Ingushetia,,0.1,2009
Republic of Ingushetia,,0.05,2010
Republic of Ingushetia,,,2011
Republic of Ingushetia,,,2012
Republic of Ingushetia,,,2013
Republic of Ingushetia,,0.0,2014
Republic of Ingushetia,,,2015
Kabardino-Balkar Republic,,12.8,2003
Kabardino-Balkar Republic,296.9,12.3,2004
