region,vodka_share,beer_share,year
 Adygeja,64.64,20.91,1998
 Adygeja,65.35,21.28,1999
 Adygeja,53.81,34.13,2000
 Adygeja,65.33,23.03,2001
 Adygeja,58.39,28.09,2002
 Adygeja,54.74,30.96,2003
 Adygeja,62.02,24.79,2004
 Adygeja,64.35,22.97,2005
 Adygeja,58.7,29.35,2006
 Adygeja,53.59,31.13,2007
 Adygeja,47.82,28.86,2008
 Adygeja,49.14,26.15,2009
 Adygeja,47.56,28.37,2010
 Adygeja,51.16,33.2,2011
 Adygeja,46.93,36.14,2012
 Adygeja,41.76,41.09,2013
 Adygeja,41.22,36.06,2014
 Adygeja,41.13,36.8,2015
 Bashkortostan,76.99,15.74,1998
 Bashkortostan,77.03,17.89,1999
 Bashkortostan,71.69,24.31,2000
 Bashkortostan,68.93,27.59,2001
 Bashkortostan,65.69,30.08,2002
 Bashkortostan,68.23,25.69,2003
 Bashkortostan,64.45,31.0,2004
 Bashkortostan,60.87,32.8,2005
 Bashkortostan,52.11,42.04,2006
 Bashkortostan,52.71,40.78,2007
 Bashkortostan,44.54,49.94,2008
 Bashkortostan,44.24,49.1,2009
 Bashkortostan,44.25,50.61,2010
 Bashkortostan,53.77,39.13,2011
 Bashkortostan,50.16,41.96,2012
 Bashkortostan,44.76,46.78,2013
 Bashkortostan,46.3,45.75,2014
 Bashkortostan,36.36,55.49,2015
Altaj,80.21,8.47,1998
Altaj,77.02,6.21,1999
Altaj,74.0,11.42,2000
Altaj,70.58,15.57,2001
Altaj,62.84,24.03,2002
Altaj,65.6,20.04,2003
Altaj,66.61,18.88,2004
Altaj,67.44,19.53,2005
Altaj,62.96,26.84,2006
Altaj,60.43,28.35,2007
Altaj,55.92,31.09,2008
Altaj,51.29,37.42,2009
Altaj,49.63,37.54,2010
Altaj,49.67,37.75,2011
Altaj,49.2,39.07,2012
Altaj,49.2,40.21,2013
Altaj,55.86,30.94,2014
Altaj,56.45,29.57,2015
 Dagestan,45.82,10.88,1998
 Dagestan,40.0,8.0,1999
 Dagestan,39.6,8.91,2000
 Dagestan,47.21,10.82,2001
 Dagestan,67.22,16.46,2002
 Dagestan,76.7,10.69,2003
 Dagestan,79.73,6.92,2004
 Dagestan,79.59,9.58,2005
 Dagestan,82.26,6.06,2006
 Dagestan,85.21,5.15,2007
 Dagestan,85.06,5.44,2008
 Dagestan,84.41,5.04,2009
 Dagestan,85.02,3.23,2010
 Dagestan,81.34,3.54,2011
 Dagestan,85.91,3.36,2012
 Dagestan,83.44,4.56,2013
 Dagestan,79.34,7.52,2014
 Dagestan,75.32,4.46,2015
Kabardino-Balkarskaja ,75.52,14.38,1998
Kabardino-Balkarskaja ,76.39,14.67,1999
Kabardino-Balkarskaja ,75.04,15.45,2000
Kabardino-Balkarskaja ,71.92,19.21,2001
Kabardino-Balkarskaja ,70.0,19.83,2002
Kabardino-Balkarskaja ,64.05,24.64,2003
Kabardino-Balkarskaja ,61.8,27.45,2004
