Year,Total,Beer,Wine,Spirits
1980,716.0,.,206.8,509.3
1981,728.6,.,216.8,511.9
1982,726.9,.,236.3,490.6
1983,763.4,.,268.0,495.5
1984,785.8,.,255.6,530.2
1985,770.2,.,223.3,546.8
1986,812.6,.,207.0,605.6
1987,855.6,.,209.0,646.6
1988,847.2,.,196.0,651.2
1989,1045.0,359.9,144.8,540.2
1990,1001.8,330.3,145.8,525.8
1991,996.9,307.1,155.5,534.3
1992,927.9,284.4,155.5,488.0
1993,882.3,295.8,150.7,435.9
1994,923.3,362.4,156.2,404.7
1995,962.7,408.7,163.9,390.2
1996,998.0,448.0,185.0,365.1
1997,1050.1,496.8,199.4,353.9
1998,1164.2,553.5,247.3,363.4
1999,1254.8,614.1,266.0,374.8
2000,1324.4,653.4,289.7,381.3
2001,1385.0,683.8,323.6,377.6
2002,1444.9,727.5,352.2,365.2
2003,1458.2,748.1,381.5,328.6
2004,1523.1,792.0,415.2,315.8
2005,1624.8,845.9,449.4,329.4
2006,1721.6,903.2,471.8,346.6
2007,1852.0,970.6,502.7,378.6
2008,1819.3,898.8,536.2,384.3
2009,1830.4,969.3,489.9,371.2
2010,1708.2,933.7,470.0,304.4
2011,1729.0,929.3,480.5,319.2
2012,1735.5,960.7,494.8,280.0
2013,1748.6,962.9,502.8,282.9
2014,1825.5,1006.9,525.5,293.1
2015,2022.2,1124.0,567.6,330.6
2016,2015.1,1139.8,562.3,313.0
2017,2140.4,1220.5,590.1,329.9
2018,2201.5,1251.7,601.7,348.1
2019,2174.4,1197.4,610.4,366.5
2020,2206.9,1207.8,651.7,347.4
2021,2475.2,1302.7,751.0,421.4
2022,2417.9,1282.5,677.0,458.5
2023,2388.8,1291.5,685.3,412.0
