measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1990,158152.65081639113,169737.33185434682,144420.9147373864
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1990,76974.15689730376,86217.3318942519,67593.87786915699
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Liver cancer due to alcohol use,Number,1990,20679.54937048281,23149.969166774776,18379.605749280476
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Liver cancer due to alcohol use,Number,1990,8190.809656886214,9507.47141083649,6988.014976896618
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,1990,723348.4117346919,739610.3075632094,711662.8884445672
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,1990,170319.42389117504,172849.18328306923,167626.28160875564
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,1990,348283.88087179733,357220.96092839685,338766.3816009042
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,1990,152983.13572814432,156390.23198903163,149120.82497042275
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1991,165307.96442483395,178095.04539358866,151857.8501238543
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1991,80523.0261074236,90212.79274382054,70536.11926099208
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcohol use disorders,Number,1991,823414.3207154205,855141.01428177,806569.5671753456
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcohol use disorders,Number,1991,191283.80330688722,194160.65649270604,187981.57542366124
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Alcoholic cardiomyopathy,Number,1991,391553.4938211537,404685.31836472935,376636.5528872678
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Alcoholic cardiomyopathy,Number,1991,165277.97934201988,169383.20410411147,161185.46738998254
YLLs (Years of Life Lost),Russian Federation,Male,All ages,Cirrhosis due to alcohol,Number,1992,193824.08532935497,208393.75939933423,178606.00855519838
YLLs (Years of Life Lost),Russian Federation,Female,All ages,Cirrhosis due to alcohol,Number,1992,91108.2301505275,102125.86203670657,79830.30947087613
